Tahun - Kuartal,Jumlah aset lancar,Jumlah liabilitas jangka pendek,Jumlah aset,Jumlah liabilitas,Jumlah ekuitas,Jumlah ekuitas yang diatribusikan kepada pemilik entitas induk,Penjualan dan pendapatan usaha,Jumlah laba bruto,Jumlah laba (rugi),Laba (rugi) yang dapat diatribusikan ke entitas induk,Laba (rugi) per saham dasar dari operasi yang dilanjutkan,Current Ratio,Debt Equity Ratio,Gross Profit Margin,Net Profit Margin,Return on Asset,Return on Equity,Code
2020 - 4,117363600593,49826734387,510500276432,97278291602,413221984830,413593248118,47504673355,27238921660,924320699,2209353861,0.47,2.3554343273120595,0.2354141240622045,0.5733945680763854,0.0194574687861254,0.0188248643517824,0.0053418518582045,WIFI
2021 - 1,118455168768,58129160481,516795726483,98973181890,417822544593,417048225337,89667605647,10820378692,3500559763,3454977219,3500559763.0,2.0377925259512057,0.2368785101972167,0.1206721046460998,0.0390392911435693,0.0291669604199942,0.0082843589999889,WIFI
2021 - 2,145050368867,68463098578,534024391027,102165944026,431858447001,428984944075,200278229547,29347628920,18037144427,17781903453,18037144427.0,2.118664972514268,0.2365727583551548,0.146534293749151,0.0900604347651633,0.1225912322174418,0.0414511131418429,WIFI
2021 - 3,137945960533,142194072218,654591811915,235461844439,419129967476,415826945993,292882248275,27079775222,7254587021,8353327220,3.73,0.9701245514757664,0.5617871846695928,0.0924595989736244,0.0247696371621278,0.0605550694469352,0.0200884702169844,WIFI
2021 - 4,96848931026,87198032789,896309450876,380354051970,515955398906,513639113655,390957116885,51679234495,24808986328,25819298323,13.14,1.1106779353652745,0.7371839751584716,0.1321864528436284,0.063457052593565,0.266593529215811,0.0502673913193111,WIFI
2022 - 1,107463511056,102961115518,980589953731,444959801216,535630152515,515942745697,71747639927,16533967644,3032349992,2303632042,3032349992.0,1.043729086610497,0.8307220927103038,0.2304461535016701,0.0422641078519834,0.0214364114792374,0.0044648985981728,WIFI
2019 - 1,335716807952,468583290973,779837259494,592324294847,187512964647,167825060461,35247759051,12635591664,51785936,963385148,1.0,0.7164506597213347,3.158844488230838,0.358479290717959,0.0014691979687296,0.0028696363279426,0.0057404129356704,KPAL
2019 - 2,380121710948,494374086872,813681935944,617402474665,196279461279,178454659071,79472492625,32169648059,3040935380,2912042219,,0.7688948936484581,3.145527660621596,0.4047897202720965,0.0382639990210071,0.0076608152997563,0.0163181069867243,KPAL
2019 - 3,382486224116,493076419683,810244366908,616214817065,194029549843,176623327335,117495831123,47022295087,4124340522,942274648,4.0,0.7757138829755869,3.175881290059237,0.4002039445788924,0.03510201581265,0.0024635518577898,0.0053349388340578,KPAL
2019 - 4,330604916371,496174567115,756289935459,564623750997,191666184462,174223742762,141162266409,60177391360,-3149481211,-1303819283,-1.0,0.6663076632349328,2.945870460049478,0.426299413369034,-0.0223110700268496,-0.0039437383367187,-0.0074835912851504,KPAL
2020 - 1,334133234566,515565824340,791991319114,594183734583,197807584531,178171881999,8646820207,-1259203993,-6424606354,-5812955038,5.44,0.64809034810199,3.00384707690458,-0.1456262490551863,-0.7430021904235946,-0.0173971171875504,-0.0326255465945666,KPAL
2020 - 2,334894769719,501876732288,755240286443,571986388934,183253897509,165821993193,19822335108,-2255805166,-10618185556,-10115260089,-9.0,0.6672849091693336,3.1212781649345738,-0.113801182035793,-0.535667745406779,-0.0302042940159603,-0.0610007146472233,KPAL
2020 - 3,338103013773,507071224884,763461826878,579639675921,183822150957,165794997316,30558459341,-107440990,-13605802555,-12904405333,12.0,0.6667761789289977,3.153263482683272,-0.0035159164538065,-0.4452384985503906,-0.0381670816506354,-0.0778335024693454,KPAL
2019 - 1,379885468476,367463820303,536668966392,383385268092,153283698300,151973240557,148592692917,17089099446,1610814208,1588895527,0.96,1.0338037311067998,2.501148343522189,0.1150063244061773,0.0108404671614623,0.0041825646381637,0.010455100655724,INCF
2019 - 2,368707401825,357678715339,526107802079,374680507407,151427294672,149935386282,300776457181,36471546277,3205419748,3156055699,1.9,1.0308340586482685,2.474326099654484,0.1212579821533448,0.0106571497584701,0.0085597839462359,0.0210494385432406,INCF
2019 - 3,388944096446,375424626419,546687319635,392966590626,153720729009,152226626032,420243197584,53168153187,4026136116,3974577481,2.39,1.0360111433177837,2.5563669464707828,0.1265175819446132,0.0095804908661138,0.0102188913967789,0.0261096076593361,INCF
2019 - 4,270007416065,303085785310,467727877054,319664676335,148063200719,146755621730,535719525407,60857418539,-4223774106,-4200490888,-2.94,0.8908613638506108,2.158974510767681,0.1135994035176616,-0.0078843012167441,-0.0155569463580541,-0.0286223508066221,INCF
2020 - 1,263829347446,192090377421,460551952804,320669268446,139882684358,138518200181,43440073578,6448632436,-8997796646,-8927964754,-6.26,1.373464673182308,2.29241574765119,0.1484489298670497,-0.2071312478291217,-0.0338399228153621,-0.0644533696101591,INCF
2020 - 2,250839700570,187792136372,451889308264,316371027397,135518280867,134185823861,155226544623,18627185354,-13362200137,-13260341074,-9.29,1.3357305871056722,2.334526569942929,0.1199999999951039,-0.0860819273498156,-0.0528638052264758,-0.0988207300328243,INCF
2020 - 3,255883664353,193056012756,453218595385,313284903781,139933691604,138656673828,262888812775,37166117253,-8129509116,-8098947903,-5.651888240071726,1.3254374246110985,2.238809683286057,0.1413758039403888,-0.0309237545340426,-0.0316508985576634,-0.0584100835495775,INCF
2020 - 4,287223166037,177077322265,486076522777,344549463438,141527059339,140283214112,288636107329,44949626286,-6805143468,-6738719685,-4.68,1.6220211733672163,2.434512983221817,0.1557311269957104,-0.0235768959433866,-0.0234616161989242,-0.0480365361433757,INCF
2021 - 1,349401233533,177779433117,483920047495,340751574290,143168473205,141907083184,89946608724,13491991309,1641413866,1623869072,1.14,1.9653636385658428,2.380074094958635,0.150000000004447,0.0182487576717501,0.0046475768147127,0.0114431854673135,INCF
2021 - 2,319063673363,229436415845,530982850950,387708557018,143274293932,142010765494,182871750096,28136179769,1747234593,1727551382,1.14,1.3906409415781205,2.7060580539451964,0.1538574424657153,0.0095544259410366,0.0054144408349318,0.0121649325386742,INCF
2021 - 3,417420657890,248611672498,550309646852,403533813671,146775833181,145477289351,288903751124,46171287032,5248773842,5194075239,3.61,1.6790066761380964,2.749320544979452,0.1598154639819227,0.018167897860721,0.0124432635060643,0.0357036844869167,INCF
2021 - 4,408518769443,251602860008,540054244827,395404640861,144649603966,143381962689,363604570740,56307751341,742939617,733117303,0.51,1.6236650466930729,2.7335342097026425,0.1548598556569399,0.0020432625901483,0.0017945743447714,0.0051130371578896,INCF
2022 - 1,336002216733,225575294799,466846530117,321896983063,144949547054,143675975848,84415135204,11200476766,299943088,294013159,0.21,1.4895346453271687,2.220751907165873,0.1326832769850171,0.0035531908735933,0.0008750333907279,0.0020463627079244,INCF
2019 - 1,62822982743,704828953,75976414232,1932107485,74044306747,68484577442,845424000,191808358,-252617166,-242623343,-0.11,89.1322390710587,0.0260939371287756,0.2268782977535532,-0.2988052929654232,-0.0038620156574312,-0.0035427442507837,HADE
2019 - 2,59429066238,634295971,72448872144,1886722373,70562149771,64980575718,1749552000,338858402,-588485799,-588416604,-0.28,93.69295873708144,0.0267384480082183,0.193682955408013,-0.3363637085379571,-0.0099011584944566,-0.0090552691707993,HADE
2019 - 3,58545140038,638064501,72079045604,1915638771,70163406833,64554940108,2663040000,540493401,-813857893,-828761250,-0.39,91.75426613805617,0.0273025335779307,0.2029610524062725,-0.305612342661019,-0.0141559359062438,-0.012838076351918,HADE
2019 - 4,4499884710,777595712,17857980095,2220887454,15637092641,10067607839,3607945200,770670530,-55247006790,-55264852606,26.07,5.786920684562623,0.1420268783326702,0.2136037238037872,-15.312595875901884,-12.281393006177709,-5.48937279737044,HADE
2020 - 1,4404401127,752168064,17586671675,2255750074,15330921601,9785237312,933849600,116609327,-302746585,-280487077,-0.13,5.855607726254116,0.1471372780259252,0.1248694939741902,-0.3241920165731184,-0.0636833632796407,-0.0286643101293034,HADE
2020 - 2,4092794774,689480391,17132302178,2253352670,14878949508,9431409999,1846135800,34648636,-751294219,-632430938,-0.3,5.936056815283671,0.1514456829622571,0.0187681946257691,-0.4069550132769214,-0.1545230027211718,-0.0670558207168446,HADE
2020 - 3,3704439569,633691354,16584985632,2257853900,14327131732,9053298544,2802544800,177612333,-1299687544,-1008658944,-0.48,5.845810496887417,0.1575928763855104,0.0633753769074449,-0.4637526379596144,-0.272283816542939,-0.1114134189983694,HADE
2020 - 4,3856372785,757247500,15599034031,1817646849,13781387182,8633403920,3714160800,551868661,-2441435591,-1756355492,-0.83,5.092618707886127,0.1318914289973687,0.1485850211439418,-0.6573316887626406,-0.4554423521583897,-0.2034371967621318,HADE
2021 - 1,3922410072,704028959,15500698578,1815137743,13685560835,8539004773,944855400,194019228,-95826347,-94399147,-0.14,5.571376037672337,0.1326315936105369,0.2053427730846434,-0.1014190605250284,-0.0240666185501269,-0.0110550526097006,HADE
2021 - 2,3866880293,628102628,15281554621,1789920847,13491633774,8395053356,1908435600,284046691,-289753408,-238350564,-0.11,6.156446607002574,0.1326689470662472,0.1488374514707229,-0.1518277106128181,-0.0616389817992227,-0.0283917866739523,HADE
2021 - 3,4044100147,628147622,15307199990,1840675276,13466524714,8363904455,2873310600,497874266,-314862468,-269499465,-0.13,6.438136522946194,0.1366852484283793,0.1732754774231508,-0.1095817723291035,-0.0666401560801901,-0.0322217292712964,HADE
2021 - 4,4204852227,788404980,15458398729,1961889898,13496508831,8501878772,3817867200,731298686,-312629750,-146788417,-0.07,5.333365888936926,0.145362769184706,0.1915463916607681,-0.0818859676418289,-0.034909292663711,-0.0172654093214586,HADE
2022 - 1,4313869727,790392092,15412038885,2001043083,13410995802,8408262869,932554800,181985690,-85513029,-93615903,-0.04,5.457885738816324,0.1492091349921668,0.1951474487075719,-0.0916975913908759,-0.0217011428078296,-0.0111337983194064,HADE
2019 - 1,25506464,33895735,124962452,51006057,73956395,73956395,17655168,3918153,2196924,2196924,0.0004,0.7524977404974401,0.689677437630647,0.2219266902472975,0.1244351795462948,0.0861320487230217,0.0297056664268181,PSSI
2019 - 2,23450419,31130869,130730152,57075121,73655031,73655031,36125063,8358038,4315906,4315906,0.0009,0.7532850753379227,0.7748977934718404,0.2313639702164671,0.1194712380155572,0.1840438757192355,0.0585962145613651,PSSI
2019 - 3,22952093,36820638,137237786,60568671,76669115,76669115,55171048,13529222,7301664,7301664,0.0015,0.6233485959694669,0.7900009149707806,0.2452232192507925,0.1323459362236512,0.3181262815552377,0.095236054309483,PSSI
2019 - 4,25227390,37145348,143198533,54635053,88563480,88563480,75325053,19080607,13288618,13288618,0.0026,0.679153416465502,0.6169027346260558,0.2533102366353463,0.1764169751065425,0.5267535801365103,0.150046249311793,PSSI
2020 - 1,23901382,33205234,140666738,51012467,89654271,89654271,19292377,4386385,1091495,1091495,0.0002,0.7198076664660757,0.5689909296122657,0.2273636369432341,0.0565764913260818,0.0456666062238576,0.0121744897128213,PSSI
2020 - 2,26401846,35222025,141602139,52686467,88915672,88915672,35528917,6836172,2247615,2247615,0.0004,0.7495834211689987,0.5925442142528035,0.1924114939951589,0.0632615680348489,0.0851309790989614,0.0252780522200855,PSSI
2020 - 3,37140426,29956609,149458723,58141969,91316754,91316754,51188420,10411736,4649403,4649403,0.0009,1.239807416119762,0.6367064799521893,0.2034002221596212,0.0908291953531677,0.1251844284177031,0.050915114656835,PSSI
