Tahun - Kuartal,Jumlah aset lancar,Jumlah liabilitas jangka pendek,Jumlah aset,Jumlah liabilitas,Jumlah ekuitas,Jumlah ekuitas yang diatribusikan kepada pemilik entitas induk,Penjualan dan pendapatan usaha,Jumlah laba bruto,Jumlah laba (rugi),Laba (rugi) yang dapat diatribusikan ke entitas induk,Laba (rugi) per saham dasar dari operasi yang dilanjutkan,Current Ratio,Debt Equity Ratio,Gross Profit Margin,Net Profit Margin,Return on Asset,Return on Equity,Code
2019 - 2,1274592068,2976891092,4376417937,3568226989,808190948,761958551,2193423139,352793689,23850636,24114166,0.0009315316851247,0.428162142520194,4.415079131769736,0.1608416008417061,0.0108737049299451,0.0189191244833637,0.0316476086111933,GIAA
2019 - 3,1283473407,2872206303,4416285237,3505343658,910941579,864001235,3540472599,661828563,122829459,122424379,0.0047292611351446,0.446859755742274,3.848044417785874,0.1869322652537777,0.0346929556903485,0.0953852088654922,0.1416946805637378,GIAA
2019 - 4,1133892533,3257836267,4455675774,3735052883,720622891,694997332,4572638083,756202982,6457765,6986140,0.0003,0.3480508042978331,5.18308942117688,0.1653756471152584,0.0014122624364277,0.0061612011691411,0.0100520385882574,GIAA
2020 - 1,772781719,3678102731,9145362742,8644553007,500809735,486065909,768123482,-29502208,-123510017,-120161229,-0.0046418355143211,0.2101033536901501,17.261152096015067,-0.0384081579216712,-0.1607944814789557,-0.1554918110064661,-0.2472118014760833,GIAA
2020 - 2,717107320,4401796407,10286925026,10367698254,-80773228,-88117006,917280296,-455284066,-723262530,-712727647,-0.0275327119355874,0.1629124234050473,-128.355626124042,-0.4963412688415581,-0.7884858457703097,-0.9938925836093822,8.088423328863444,GIAA
2020 - 3,714334618,4692356967,9905520965,10361096065,-455575100,-456638528,1138772278,-770771422,-1091697373,-1074809009,-0.0415199367600387,0.1522336478285242,-22.742893685366035,-0.6768442092335515,-0.9586617044430722,-1.5046295978336583,2.353741401776768,GIAA
2020 - 4,536547176,4294797755,10789980407,12733004654,-1943024247,-1919685359,1492331099,-1332007214,-2476633349,-2443042762,-0.0943748890555776,0.1249295558505292,-6.553188759048975,-0.8925681538718641,-1.65957363661427,-4.553267394328808,1.272626657564668,GIAA
2021 - 1,485511548,4552796933,10578854920,12900600238,-2321745318,-2297477292,353070544,-279917369,-385355709,-384348119,-0.0148473909886253,0.1066402818190441,-5.5564234965757775,-0.7928086150398318,-1.09144111721764,-0.7916353804214766,0.1672913679444541,GIAA
2021 - 2,403574266,5055581006,10114775193,12963057853,-2848282660,-2822088439,696803361,-543647474,-901655027,-898656521,-0.0347151555378491,0.0798274749274188,-4.551183783494297,-0.7802021408447254,-1.293987769671507,-2.226743865279061,0.3184366969443511,GIAA
2021 - 3,363037417,5287113079,9421554435,13027027769,-3605473334,-3578047364,939028939,-839301295,-1666607981,-1662343226,-0.0642164189373298,0.068664583407901,-3.6131255350452136,-0.8937970494219242,-1.7748206810056577,-4.578985934113783,0.4645950868972343,GIAA
2019 - 1,492778814,277195888,1202988692,939498624,263490068,263489857,213915082,29438837,1361369,1361368,0.0001580837865788,1.7777277201168291,3.565594070133983,0.1376192680046748,0.0063640627265355,0.0027626350024049,0.0051666808563336,DOID
2019 - 2,456944617,284743243,1181704619,914891659,266812960,266812747,435353947,61729931,4068458,4068455,0.0004724341779192,1.6047601768727484,3.4289625923718248,0.1417925148614766,0.0093451731126719,0.0089036063641822,0.0152483531830658,DOID
2019 - 3,460899211,259155773,1168492270,876467644,292024626,292024401,690338935,122540101,28148229,28148214,0.0032686064712487,1.7784639935456887,3.001348399980486,0.1775071559595577,0.0407745059316406,0.0610723848689773,0.0963899383188872,DOID
2019 - 4,471509645,257349435,1181911191,901340212,280570979,280570756,881812079,142645862,20480591,20480580,0.00238,1.8321767250042729,3.2125211781080183,0.1617644681866509,0.0232255732119541,0.0434361846405071,0.0729961322127242,DOID
2020 - 1,453749319,239101458,1118180803,860429314,257751489,257751281,193822845,34392685,-22697105,-22697090,-0.00263,1.897727110472074,3.338212777502131,0.1774439179241229,-0.11710232093642,-0.0500212100593808,-0.0880581074590275,DOID
2020 - 2,481634435,235457085,1110920433,835565620,275354813,275354594,352091342,43277506,-7865202,-7865197,-0.00091,2.045529591942413,3.034505229440097,0.1229155643367112,-0.0223385271427662,-0.0163302214884199,-0.028563885155299,DOID
2020 - 3,441339673,190252836,1040854175,755504521,285349654,285349430,494175141,62578509,-3693810,-3693807,-0.0004285249419086,2.31975345166471,2.6476447768883573,0.1266322479786574,-0.0074746981252948,-0.0083695330965634,-0.01294485501513,DOID
2020 - 4,367620154,220348158,974449753,710718334,263731419,263731205,601691969,51997973,-23436370,-23436358,-0.00271889244633,1.668360458906128,2.6948565199203665,0.0864195895557981,-0.0389507774866112,-0.0637515591705018,-0.0888645619315317,DOID
2021 - 1,363322339,187441729,952055018,713955711,238099307,238099107,159683405,7751965,-25518921,-25518907,-0.0029604925595051,1.938321530314096,2.9985627425618677,0.0485458398134734,-0.1598094742531323,-0.070237649218701,-0.1071776678272044,DOID
2021 - 2,403479882,264204553,1009646131,778844275,230801856,230801656,348937816,32790619,-32708631,-32708617,-0.00379,1.5271496172891463,3.374514782931381,0.0939726721966987,-0.0937377076951728,-0.0810662896942157,-0.1417174277120438,DOID
2021 - 3,716799899,293131233,1392053439,1143950577,248102862,248102653,596743153,81076630,-16102844,-16102839,-0.00187,2.445320792547548,4.610791539357575,0.1358652036347704,-0.0269845475713401,-0.022464901323877,-0.0649039371618488,DOID
2021 - 4,674011530,474075197,1635958307,1370302118,265656189,265655972,910544363,134858912,280546,280543,3e-05,1.4217397034589008,5.15817878423303,0.1481080082201332,0.0003081079971498,0.0004162287846915,0.0010560387477379,DOID
2022 - 1,667263845,428077724,1632822992,1371471926,261351066,261350849,332258545,31028896,-461546,-461546,-5e-05,1.5587446101259874,5.247623233340858,0.0933878043678304,-0.0013891170203011,-0.0006916993981593,-0.0017660015330579,DOID
